Toma,T_entre_med,Tiempo,circulo_cords,regla_inc_a
0,0.000,0.000,"[0,0]","[0,0]"
1,0.000,12.070,"[210, 156]","[0, 141]"
2,0.051,12.121,"[262, 242]","[337, 105]"
3,0.083,12.205,"[298, 282]","[92, 133]"
4,0.053,12.257,"[338, 303]","[342, 141]"
5,0.100,12.357,"[375, 303]","[428, 141]"
6,0.049,12.406,"[407, 282]","[349, 136]"
7,0.035,12.441,"[442, 245]","[268, 141]"
8,0.081,12.522,"[447, 235]","[339, 121]"
9,0.100,12.622,"[454, 210]","[336, 110]"
10,0.100,12.722,"[447, 218]","[340, 114]"
11,0.084,12.806,"[436, 235]","[340, 114]"
12,0.051,12.857,"[417, 268]","[342, 139]"
13,0.065,12.923,"[385, 296]","[338, 141]"
14,0.086,13.009,"[357, 304]","[353, 137]"
15,0.065,13.074,"[337, 309]","[324, 141]"
16,0.099,13.173,"[275, 258]","[340, 129]"
17,0.048,13.221,"[264, 247]","[339, 106]"
18,0.050,13.272,"[245, 244]","[339, 103]"
19,0.121,13.392,"[242, 245]","[341, 109]"
20,0.083,13.475,"[257, 247]","[341, 104]"
21,0.048,13.523,"[267, 254]","[338, 107]"
22,0.035,13.558,"[314, 282]","[341, 122]"
23,0.115,13.673,"[351, 300]","[340, 132]"
24,0.051,13.724,"[383, 299]","[347, 141]"
25,0.051,13.775,"[408, 280]","[346, 135]"
26,0.084,13.859,"[432, 247]","[339, 129]"
27,0.084,13.943,"[434, 240]","[341, 120]"
28,0.100,14.043,"[428, 238]","[340, 106]"
29,0.082,14.125,"[426, 238]","[340, 112]"
30,0.035,14.160,"[423, 246]","[342, 126]"
31,0.084,14.244,"[396, 282]","[345, 132]"
32,0.049,14.294,"[369, 299]","[345, 132]"
33,0.066,14.360,"[338, 298]","[347, 141]"
34,0.099,14.459,"[312, 284]","[342, 133]"
35,0.056,14.515,"[274, 256]","[340, 115]"
36,0.063,14.578,"[267, 253]","[340, 115]"
37,0.067,14.645,"[255, 253]","[340, 106]"
38,0.180,14.825,"[264, 254]","[340, 107]"
39,0.050,14.875,"[268, 256]","[340, 107]"
40,0.050,14.925,"[327, 294]","[339, 118]"
41,0.070,14.995,"[340, 294]","[343, 125]"
42,0.065,15.059,"[369, 297]","[341, 129]"
43,0.049,15.109,"[394, 286]","[341, 129]"
44,0.069,15.178,"[414, 268]","[345, 129]"
45,0.098,15.275,"[425, 244]","[342, 126]"
46,0.048,15.323,"[426, 237]","[340, 113]"
47,0.123,15.446,"[420, 243]","[340, 111]"
48,0.066,15.512,"[412, 251]","[341, 120]"
49,0.051,15.563,"[392, 280]","[345, 129]"
50,0.097,15.660,"[369, 299]","[349, 133]"
51,0.050,15.710,"[342, 300]","[348, 141]"
52,0.085,15.796,"[331, 301]","[343, 129]"
53,0.099,15.895,"[296, 272]","[339, 118]"
54,0.049,15.944,"[277, 259]","[339, 118]"
55,0.039,15.982,"[268, 258]","[340, 108]"
56,0.045,16.027,"[261, 260]","[340, 108]"
57,0.139,16.166,"[292, 275]","[340, 108]"
31,0.097,16.262,"[317, 287]","[341, 114]"
32,0.049,16.312,"[343, 291]","[342, 122]"
33,0.035,16.347,"[367, 296]","[346, 127]"
34,0.083,16.430,"[389, 293]","[346, 127]"
35,0.053,16.483,"[406, 274]","[346, 128]"
36,0.113,16.595,"[415, 249]","[342, 125]"
37,0.049,16.645,"[417, 241]","[341, 115]"
38,0.035,16.680,"[415, 242]","[341, 115]"
39,0.115,16.795,"[410, 243]","[340, 107]"
40,0.049,16.844,"[399, 267]","[340, 120]"
41,0.035,16.879,"[382, 283]","[344, 127]"
42,0.133,17.012,"[363, 297]","[344, 127]"
43,0.050,17.062,"[341, 296]","[347, 129]"
44,0.050,17.112,"[321, 290]","[342, 128]"
45,0.036,17.148,"[304, 275]","[341, 116]"
46,0.098,17.246,"[279, 265]","[341, 116]"
47,0.051,17.298,"[270, 281]","[340, 110]"
48,0.165,17.462,"[278, 275]","[340, 110]"
49,0.050,17.512,"[306, 281]","[340, 110]"
50,0.050,17.562,"[329, 291]","[341, 115]"
51,0.083,17.644,"[351, 292]","[343, 122]"
52,0.084,17.729,"[373, 295]","[345, 130]"
53,0.034,17.763,"[382, 299]","[345, 130]"
54,0.082,17.845,"[403, 275]","[346, 128]"
55,0.050,17.895,"[409, 251]","[342, 121]"
56,0.135,18.030,"[406, 251]","[341, 115]"
57,0.069,18.099,"[404, 251]","[341, 114]"
58,0.116,18.215,"[381, 292]","[344, 122]"
59,0.049,18.264,"[370, 293]","[346, 128]"
60,0.049,18.313,"[354, 299]","[346, 128]"
61,0.065,18.378,"[335, 294]","[344, 141]"
62,0.050,18.428,"[326, 295]","[342, 122]"
63,0.054,18.482,"[305, 278]","[339, 107]"
64,0.066,18.548,"[301, 287]","[341, 98]"
65,0.165,18.713,"[303, 286]","[342, 114]"
66,0.052,18.765,"[307, 282]","[343, 114]"
67,0.035,18.800,"[323, 286]","[343, 114]"
68,0.130,18.931,"[343, 290]","[344, 115]"
69,0.052,18.982,"[361, 293]","[341, 121]"
70,0.049,19.031,"[379, 292]","[344, 125]"
71,0.036,19.067,"[391, 282]","[344, 125]"
72,0.083,19.150,"[399, 273]","[344, 126]"
73,0.066,19.217,"[403, 255]","[342, 118]"
74,0.165,19.381,"[399, 254]","[342, 118]"
75,0.050,19.431,"[389, 260]","[342, 118]"
76,0.070,19.501,"[366, 298]","[343, 125]"
77,0.082,19.583,"[345, 305]","[348, 127]"
78,0.049,19.632,"[341, 296]","[346, 126]"
79,0.051,19.682,"[328, 290]","[342, 123]"
80,0.102,19.785,"[316, 285]","[341, 117]"
81,0.263,20.048,"[309, 290]","[341, 111]"
82,0.050,20.097,"[324, 289]","[341, 111]"
83,0.035,20.133,"[339, 290]","[341, 111]"
84,0.100,20.233,"[357, 292]","[343, 117]"
85,0.049,20.282,"[372, 290]","[340, 121]"
86,0.035,20.317,"[376, 298]","[340, 121]"
87,0.083,20.400,"[389, 289]","[340, 121]"
88,0.100,20.500,"[395, 282]","[343, 121]"
89,0.101,20.601,"[394, 259]","[342, 115]"
90,0.181,20.782,"[364, 295]","[341, 121]"
91,0.048,20.831,"[348, 301]","[343, 127]"
92,0.036,20.867,"[343, 298]","[343, 127]"
93,0.122,20.989,"[339, 301]","[343, 125]"
94,0.044,21.033,"[323, 289]","[342, 119]"
95,0.259,21.292,"[317, 290]","[342, 118]"
96,0.042,21.333,"[328, 290]","[342, 118]"
97,0.069,21.402,"[340, 291]","[342, 118]"
98,0.114,21.516,"[355, 290]","[342, 118]"
99,0.035,21.551,"[358, 295]","[343, 119]"
100,0.121,21.672,"[382, 292]","[346, 121]"
101,0.062,21.734,"[391, 284]","[344, 120]"
102,0.217,21.951,"[372, 288]","[342, 116]"
103,0.115,22.066,"[360, 293]","[342, 119]"
104,0.050,22.115,"[355, 292]","[345, 123]"
105,0.069,22.185,"[343, 295]","[345, 123]"
106,0.050,22.234,"[340, 291]","[340, 121]"
107,0.050,22.285,"[325, 288]","[342, 117]"
108,0.203,22.488,"[320, 297]","[342, 119]"
109,0.114,22.602,"[333, 293]","[342, 119]"
110,0.084,22.686,"[344, 293]","[342, 119]"
111,0.065,22.751,"[346, 294]","[342, 119]"
112,0.051,22.802,"[367, 290]","[342, 119]"
113,0.099,22.901,"[370, 291]","[342, 119]"
114,0.335,23.236,"[373, 283]","[342, 116]"
115,0.049,23.285,"[357, 293]","[343, 117]"
116,0.050,23.335,"[345, 299]","[344, 121]"
117,0.036,23.371,"[342, 295]","[344, 121]"